pokemonId,pokemonName,koreanName,level,move,koreanMove,method,versionGroup,source
147,dratini,미뇽,31,aqua-tail,아쿠아테일,level-up,heartgold-soulsilver,pokeapi
147,dratini,미뇽,35,dragon-rush,,level-up,heartgold-soulsilver,pokeapi
147,dratini,미뇽,41,safeguard,,level-up,heartgold-soulsilver,pokeapi
147,dratini,미뇽,45,dragon-dance,용의춤,level-up,heartgold-soulsilver,pokeapi
147,dratini,미뇽,51,outrage,역린,level-up,heartgold-soulsilver,pokeapi
147,dratini,미뇽,55,hyper-beam,파괴광선,level-up,heartgold-soulsilver,pokeapi
183,marill,마릴,1,tackle,,level-up,heartgold-soulsilver,pokeapi
183,marill,마릴,2,defense-curl,,level-up,heartgold-soulsilver,pokeapi
183,marill,마릴,7,tail-whip,꼬리흔들기,level-up,heartgold-soulsilver,pokeapi
183,marill,마릴,10,water-gun,,level-up,heartgold-soulsilver,pokeapi
183,marill,마릴,15,rollout,,level-up,heartgold-soulsilver,pokeapi
183,marill,마릴,18,bubble-beam,,level-up,heartgold-soulsilver,pokeapi
183,marill,마릴,23,aqua-ring,,level-up,heartgold-soulsilver,pokeapi
183,marill,마릴,27,double-edge,이판사판태클,level-up,heartgold-soulsilver,pokeapi
183,marill,마릴,32,rain-dance,,level-up,heartgold-soulsilver,pokeapi
183,marill,마릴,37,aqua-tail,아쿠아테일,level-up,heartgold-soulsilver,pokeapi
183,marill,마릴,42,hydro-pump,하이드로펌프,level-up,heartgold-soulsilver,pokeapi
220,swinub,꾸꾸리,1,odor-sleuth,,level-up,heartgold-soulsilver,pokeapi
220,swinub,꾸꾸리,1,tackle,,level-up,heartgold-soulsilver,pokeapi
220,swinub,꾸꾸리,4,mud-sport,,level-up,heartgold-soulsilver,pokeapi
220,swinub,꾸꾸리,8,powder-snow,눈싸라기,level-up,heartgold-soulsilver,pokeapi
220,swinub,꾸꾸리,13,mud-slap,진흙뿌리기,level-up,heartgold-soulsilver,pokeapi
220,swinub,꾸꾸리,16,endure,,level-up,heartgold-soulsilver,pokeapi
220,swinub,꾸꾸리,20,mud-bomb,진흙폭탄,level-up,heartgold-soulsilver,pokeapi
220,swinub,꾸꾸리,25,icy-wind,,level-up,heartgold-soulsilver,pokeapi
220,swinub,꾸꾸리,28,ice-shard,얼음뭉치,level-up,heartgold-soulsilver,pokeapi
220,swinub,꾸꾸리,32,take-down,,level-up,heartgold-soulsilver,pokeapi
220,swinub,꾸꾸리,37,earthquake,지진,level-up,heartgold-soulsilver,pokeapi
220,swinub,꾸꾸리,40,mist,,level-up,heartgold-soulsilver,pokeapi
220,swinub,꾸꾸리,44,blizzard,,level-up,heartgold-soulsilver,pokeapi
220,swinub,꾸꾸리,49,amnesia,,level-up,heartgold-soulsilver,pokeapi
222,corsola,코산호,1,tackle,,level-up,heartgold-soulsilver,pokeapi
222,corsola,코산호,4,harden,방어태세,level-up,heartgold-soulsilver,pokeapi
222,corsola,코산호,8,bubble,거품,level-up,heartgold-soulsilver,pokeapi
222,corsola,코산호,13,recover,HP회복,level-up,heartgold-soulsilver,pokeapi
222,corsola,코산호,16,refresh,,level-up,heartgold-soulsilver,pokeapi
222,corsola,코산호,20,rock-blast,락블라스트,level-up,heartgold-soulsilver,pokeapi
222,corsola,코산호,25,bubble-beam,,level-up,heartgold-soulsilver,pokeapi
222,corsola,코산호,28,lucky-chant,,level-up,heartgold-soulsilver,pokeapi
222,corsola,코산호,32,ancient-power,,level-up,heartgold-soulsilver,pokeapi
222,corsola,코산호,37,aqua-ring,,level-up,heartgold-soulsilver,pokeapi
222,corsola,코산호,40,spike-cannon,,level-up,heartgold-soulsilver,pokeapi
222,corsola,코산호,44,power-gem,,level-up,heartgold-soulsilver,pokeapi
222,corsola,코산호,48,mirror-coat,,level-up,heartgold-soulsilver,pokeapi
222,corsola,코산호,53,earth-power,,level-up,heartgold-soulsilver,pokeapi
246,larvitar,애버라스,1,bite,물기,level-up,heartgold-soulsilver,pokeapi
246,larvitar,애버라스,1,leer,,level-up,heartgold-soulsilver,pokeapi
246,larvitar,애버라스,5,sandstorm,,level-up,heartgold-soulsilver,pokeapi
246,larvitar,애버라스,10,screech,싫은소리,level-up,heartgold-soulsilver,pokeapi
246,larvitar,애버라스,14,rock-slide,록슬라이드,level-up,heartgold-soulsilver,pokeapi
246,larvitar,애버라스,19,scary-face,겁나는얼굴,level-up,heartgold-soulsilver,pokeapi
246,larvitar,애버라스,23,thrash,,level-up,heartgold-soulsilver,pokeapi
246,larvitar,애버라스,28,dark-pulse,악의파동,level-up,heartgold-soulsilver,pokeapi
246,larvitar,애버라스,32,payback,,level-up,heartgold-soulsilver,pokeapi
246,larvitar,애버라스,37,crunch,깨물어부수기,level-up,heartgold-soulsilver,pokeapi
246,larvitar,애버라스,41,earthquake,지진,level-up,heartgold-soulsilver,pokeapi
246,larvitar,애버라스,46,stone-edge,스톤샤워,level-up,heartgold-soulsilver,pokeapi
246,larvitar,애버라스,50,hyper-beam,파괴광선,level-up,heartgold-soulsilver,pokeapi
