apiName,koreanName,appearsInPokemonCount,minLevel,maxLevel,reason
memento,,7,43,65,unsupported or state-machine-heavy effect
meteor-mash,,1,43,43,not implemented safely in this patch
metronome,,5,1,31,unsupported or state-machine-heavy effect
mimic,,3,17,41,unsupported or state-machine-heavy effect
mind-reader,,3,22,53,unsupported or state-machine-heavy effect
minimize,,8,1,33,unsupported or state-machine-heavy effect
miracle-eye,,5,17,36,unsupported or state-machine-heavy effect
mirror-coat,,5,1,57,unsupported or state-machine-heavy effect
mirror-move,,5,21,56,not implemented safely in this patch
mist,,8,4,48,unsupported or state-machine-heavy effect
mud-sport,,11,1,5,unsupported or state-machine-heavy effect
night-shade,,8,6,21,not implemented safely in this patch
nightmare,,4,1,55,unsupported or state-machine-heavy effect
odor-sleuth,,8,1,22,unsupported or state-machine-heavy effect
pain-split,,1,28,28,unsupported or state-machine-heavy effect
payback,,13,24,51,not implemented safely in this patch
perish-song,멸망의노래,6,1,91,unsupported or state-machine-heavy effect
power-swap,,6,1,78,unsupported or state-machine-heavy effect
power-trick,,1,48,48,unsupported or state-machine-heavy effect
present,,1,1,1,unsupported or state-machine-heavy effect
protect,,11,1,34,unsupported or state-machine-heavy effect
psych-up,,9,29,67,unsupported or state-machine-heavy effect
psycho-shift,,4,33,47,unsupported or state-machine-heavy effect
rage,,16,1,35,not implemented safely in this patch
rain-dance,,17,15,85,unsupported or state-machine-heavy effect
razor-wind,,2,33,33,not implemented safely in this patch
recycle,,3,32,34,unsupported or state-machine-heavy effect
reflect,,13,7,50,unsupported or state-machine-heavy effect
refresh,,4,9,41,unsupported or state-machine-heavy effect
reversal,,4,25,57,unsupported or state-machine-heavy effect
role-play,,3,33,43,unsupported or state-machine-heavy effect
safeguard,,24,1,93,unsupported or state-machine-heavy effect
sandstorm,,7,1,52,unsupported or state-machine-heavy effect
self-destruct,,9,1,29,not implemented safely in this patch
sheer-cold,,3,34,78,unsupported or state-machine-heavy effect
sketch,,1,1,91,unsupported or state-machine-heavy effect
sleep-talk,,1,28,28,not implemented safely in this patch
sonic-boom,,5,1,14,not implemented safely in this patch
spider-web,,2,29,32,unsupported or state-machine-heavy effect
spikes,,5,1,28,unsupported or state-machine-heavy effect
spit-up,,5,1,28,unsupported or state-machine-heavy effect
spite,,5,1,21,not implemented safely in this patch
stockpile,,5,1,28,unsupported or state-machine-heavy effect
substitute,,1,29,29,unsupported or state-machine-heavy effect
sunny-day,,7,1,85,unsupported or state-machine-heavy effect
supersonic,,22,1,22,unsupported or state-machine-heavy effect
swagger,,8,27,45,unsupported or state-machine-heavy effect
swallow,,4,1,28,unsupported or state-machine-heavy effect
switcheroo,,2,1,1,unsupported or state-machine-heavy effect
tailwind,,7,27,64,unsupported or state-machine-heavy effect
taunt,,4,1,31,unsupported or state-machine-heavy effect
toxic-spikes,,10,1,35,unsupported or state-machine-heavy effect
transform,,2,1,1,unsupported or state-machine-heavy effect
trick,,3,36,46,unsupported or state-machine-heavy effect
trump-card,,2,53,57,unsupported or state-machine-heavy effect
water-sport,,7,1,7,unsupported or state-machine-heavy effect
wish,,4,28,30,unsupported or state-machine-heavy effect
worry-seed,,9,25,40,unsupported or state-machine-heavy effect
wring-out,,10,36,63,unsupported or state-machine-heavy effect
yawn,하품,12,1,31,unsupported or state-machine-heavy effect
